	artist	title	lyrics
74	Circle Jerks	Don't Care	"Don't care
Where you from anyway
I don't care
Lots of money anyway
I don't care
What you say anyway
I don't care
Lots of clothes anyway

I don't care
I don't care

Don't care
Nice car anyway
Don't care
Nice parent anyway
Don't care
Nice home anyway
Don't care
Lots of money anyway

Don't care,don't care"
75	Circle Jerks	Live Fast Die Young	"I don't want to live
To be thirty-four
I don't want to die
In a nuclear war
Go on out
Get some more
Go on out
To the bar, the market or the liquor store

I don't want to live
To be forty-three
I don't like
What I see going on around me

Go on out
Get some more
Go on out
Get fucked up and pass out on the floor
Go on out
Get some more
Go on out
To your favorite liquor store
Go on out
Don't worry about it any more
Go on out
Get fucked up
I don't know what for

I don't want to live
To be fifty-seven
I'm living in hell
Is there a heaven?

Live fast, die young
Live fast, die young
Live fast, die young
Live fast, die young"
76	Circle Jerks	What's Your Problem	"Girls hate guys
because of the things we try
guys hate girls
because of the things they say
behind our backs while we're away

tell me what's your problem?
what's inside of you?
tell me what's your problem?
what you're gonna do?

I got a date
I can't be late
If she don't show up
I'll masturbate"
77	Circle Jerks	Group Sex	"Group sex!
Group sex!
Group sex!
Group sex!

Private swing party
Friday and Saturday night
Wouldn't it be nice
To have a party with couples
That are friendly and mellow?
A ion-key atmosphere
Where you can explore
Your most sensual fantasies
With other aware sensitive couples?

Group sex!
Group sex!
Group sex!
Group sex!

Where you can bring someone
You care about without embarrassment?
Privacy good food and music
Refreshments
Cleanliness
And a super-jacuzzi too
That's what parties at the
A-frame are all about
Call 213-659-3756
Best time to call is
Friday and Saturday afternoons
See you there!

Group sex!"
80	Circle Jerks	Leave Me Alone	"Get off my back
Out of my life
Everything is building up
Take the lid of the pot
Before it blows up

Chewed my fingernails to the bone
Get off my back
Just leave me alone

Wake up tomorrow,do it again
Yes sir, yes ma'am
No sir, no ma'am
Get so fed up
With your fucking scams

Chewed my fingernails to the bone
Get off my back
Just leave me alone
Pressure,pressure, pressure
Ahhhhhhhhhhh

Heavy weight on my mind
Not enough beer
To erase the thought
Work, money, bills, reality,
No spare time no sanity"
82	Circle Jerks	86'd (Good as Gone)	"I read the mail today
They're throwing me out of town
There isn't any way
I get to stick around

They took my stereo
When I turned the volume up
And when I gave them drugs
They couldn't get enough

Turn the tourniquet
'Till I'm sick of it
See the other side
Always overdrawn
Feeling like a pawn
Somebody lied
Somebody lied

I got the news today
They'll tear my apartment down
There isn't any way
I get to stick around

I never thought I'd see
New condos going up
And now I've gotta scream
That I've had enough

Turn the tourniquet
I'm so sick if it
Where's the other side
No more bills to pay
Neighbors gone away
Somebody died
Somebody lied

Turn the tourniquet
I'm so sick of it
Where's the other side
No more bills to pay
Somebody lied."
83	Circle Jerks	Meet the Press	"Caught you in the camera
That's my tool
Saw you take the money
You've been fooled

Not a merchant
Not a disguise
Jury will believe it
When he testifies
Meet the press
All the papers want to know
Why you ever stooped so low
As to take the phony bribe
From the feds

Thank the rice dealer
Dinners at Le 'Parc
You're still good and greedy
But the bills were marked

Forget about the entrapment
No defense
Gonna leave office
When we commence

Save the tears
How you've served and
Been sincere
How you thought it was
A mirror
The high cost of campaigning
Each two years

Meet the press
Sunday morning
""Face the Nation"",
You've been had!"
85	Circle Jerks	Murder the Disturbed	"Really queer me sitting here
You seem so sincere
Your daughter flips the burgers
As you reach for a second beer

Mom says grace,she's learned her place
The cruelest years are on her face
Two car garage, a master charge
Her tits aren't firm,at least they're large

Murder the disturbed
And all those perturbed
Kill the democrats
Support tuition tax

You served a meal,you spoke with zeal
You think you've still sex appeal
Your daughter serves desert
As you enact your biggest deal

Success has shown a second home
The kids are cute,how they've grown
One is dead,one's on reds
She goes to school,she's too well fed

Murder the disturbed
And all those perturbed
Kill the democrats
Reinstate the draft
Murder the disturbed"
87	Circle Jerks	Defamation Innuendo	"Four years college
You've got knowledge
A bachelor degree
You read and write
You think it's right
But don't come down on me

You're an educated jerk
Write about us
I could squeeze you
Like a pimple
But I don't need the pus

Defamation innuendo
Defamation innuendo
Communication to third person
It's defamation
My reputation
Defamation, innuendo...

Well,I got the record
I haven't heard it yet
I went to the concert
I wanted to get in on the guest list
But they wouldn't let me in
Defamation innuendo...

I didn't get a change to see the band
Hell,I never heard'em
And now I've gotta write about'em
God,the story is due,
The story's due tomorrow
What should I write?
Well,they're no good !"
88	Circle Jerks	Moral Majority	"First there was biology
Then pornography
So says the moral majority

Telling you and me
What we can watch and read
I don't need
Some dumb schmuck telling me

Nice communities
Middle class families
Too much cleanliness
Too much stupidity

I don't need
Someone telling me
How to listen and how to read

Whatever happened
To the first amendment
The way these people talk
They've never even heard it"
89	Circle Jerks	Political Stu	"Can you grasp the situation?
Or is it getting out of hand
Riots,killing in the streets
Over the color of a man

Everybody looks the same
With their head stuck in the hand
Every one looks the same
'til you see where they stand

Reactionary politics
Are the order of the day
It makes me really sick to
See the poor,treated this way

Caviar and limousines
High finance and jelly beans
Decorate the east wing California modern,
It' great to be the king

Did you see the demonstrations in another land
Over weapons annihilation care of Uncle Sam

The stock market does not reveal
The arms that they have sold
Half the world can't get a meal
The war is getting cold

A bushel or a barrel
Neither can be saved
You feed your beef with wasted wheat
To dominate your crave

Can you hear the foreign voices
Can you understand?
Every great civilization crumbles in the sand
Organizations and their plans
I'm anti SWA, anti Klan
P.L.O., J.D.L., they can all burn in hell"
93	Circle Jerks	Firebaugh	"Brown and white, enter the night
Opposite sides of the street
No one speaks, no one looks
Their paths shall never meet
An unsuspecting traveler
Stranded in the night

Trapped in a realm of existence
Everybody's right
A voice cries out ""Hey Charlie Brown""
Are you the next Vato who's gonna go down?
Heads turn, we told you so
If your car breaks down
Don't take a tow to

[Chorus]
Firebaugh, Firebaugh
A place where no one dreams
Where either race is human waste
It's here that silence screams
Firebaugh, Firebaugh
The outer limits near
Drinking beer's the pastime here
This place is filled with hate and fear

Cornfields die, custard things
See the boredom in their eyes
Low riders, okies look for romance
Is this the place where the blackbirds dance?
Three men one woman sit at the bar
She's the town whore, the village star
Who'll be the one to get up her dress?
Pass on by avoid this mess

[Chorus]

If by chance your car breaks down
Keep your ear close to the ground
You might end up on the wrong side of town
What can you do? They're plotting your mouth"
95	Circle Jerks	Karma Stew	"Do you feel strange?
Walking down the street
This might be your unfortunate day
Not proud of your past
You burned a few
Now you're cooking
In your own stew

Our lives are based on time
You've got to feel your way through
It might come back to you
And when it does you'll understand

Is there something wrong?
Karma stew
Is there something wrong?
Karma stew

All your plans they will fall through
'Cause you told lies and never truths

Our lives are based on time
You've got to feel your way through
It might come back to you
And when it does you'll understand
Something is wrong"
96	Circle Jerks	15 Minutes	"The tragic story of a young boy and his one night stand
There's a lesson to be learned
don't let this happen to you

You got it
Got it good
Got your twenty-four symptom
Just a little
Just for fifteen minutes
I want a little

15 minutes of fun, pleasure
Now you're gonna go insane
And a trip, trip
Down to the free clinic

[Repeat: x7]
Okay 

[Repeat: x3]
That's beautiful 

All right
You got it good
Fifteen minutes"
97	Circle Jerks	Rook House	"Party waste, found the base
Had a taste, Daryl gates is breaking through
Stole my car, in my drawer, stole my bucks
Really sucks, I can't trust you
Candle light, door shut tight, gonna fight
Losers here are so uncool
Brought me here, took my cash, get away
Take me for a fool

[Chorus]
Rock house is destroying you
Low life's smoking cools
locked door are the rule
Ramdoors breaking through

Zombie girls drooping eyes
Can't get enough, one more puff
We're not through
Dealer says give 'em head
He's got something that will make you really smooth
Legs are spread, mouths are open
Most of them are hoping that it might be you
Spent the cash, make a dash
Keep inhaling till your face is turning blue

[Chorus]"
98	Circle Jerks	In Your Eyes	"When it first happened
It was nice, it was sweet
Now it's getting older and we're finding that it's not so neat
Smiles growing cold
Perfumes getting stale

I can see it in your eyes
All the lies and alibis
I can see it in your eyes
All the lies and alibis

happiness together, honey, there's just no way
Our love has seen much better days
It's over now
Yes it's gone
No one's at fault
'Cause no one's wrong

I can see it in your eyes
All the lies and alibis
I can see it in your eyes
All the lies and alibis"
99	Circle Jerks	Under the Gun	"Like a wolf
In sheep's' clothing
Or a snake
In the grass
I've got
Six bullets
The first
Could be your last
Could be your last

My mind is hazy
And when they catch me
They'll say I'm crazy
You put me down
You brushed me off
Stepped on, pushed and shoved
I'll show you
I've had enough

Under the gun
Nowhere to run
Under the gun
Nowhere to run
Under the gun
Nowhere to run
Under the gun

Where are ya gonna run to?

My brain
Is starting to squeak
I'm so tense and tight
Can't even speak
Pissed off
Someone's gotta die
Tonight
Someone's gonna die!

Under the gun
Nowhere to run
Under the gun
Nowhere to run
Under the gun
Nowhere to run
Under the gun

Where are ya gonna run to?
Where are ya gonna run to?
I'm after you!"
100	Circle Jerks	Golden Shower of Hits (Jerks on 45)	"Every time I think that I'm the only one who's lonely someone calls on me
And every now and then I spend the time to find a person who's so
Close to me

And then along comes Mary (ooh, ooh, ooh)
And then she want to give me kicks and
Now what to get from me will be memories
I really got the tales, all the trials and tribulations
No one's ever seen

Why do birds suddenly appear every time you are near?
Just like me, they long to be
Close to you
Why do stars fall down from the skies
Every time you walk by?
Just like me, they long to be
Close to you

From the day that you were born the fairies got together and decided to create a dream come true
So they sprinkled angel dust in your hair
Golden starlight in your eyes, ooh

I find my baby, gotta hold her tight
Gotta grab some afternoon delight
My motto's always been ""when it's right, it's right""
Why wait until the middle of a cold, dark night?

When everything's a little clearer in the light of day
And we know the night is always gonna be here anyway

(Thinking of you's working up my appetite)
(Looking forward to a little afternoon delight)
(Rubbing sticks and stones together makes the sparks ignite)
(And the thought of loving you is getting so exciting)
(Sky rockets in flight)
(Afternoon delight!)
(Afternoon delight!)

Have my baby
What a wonderful way of saying how much you love me
Having my baby
What a lovely way of saying what you're thinkin' of me
I can see it
Faces glowing
I can see it in your eyes, a happy knowing
'Cause you're having my baby
You're the woman I love and I love what it's doing to ya
Having my baby!
You're a woman in love and I love what's going through ya

Love, love will keep us together
Think of me babe, whenever
Some sweet-talking guy comes along
Singin' a song
Don't mess around, you just gotta be strong
Stop (stop!) I really love you
Stop (stop!) I been thinking of you
Look in my heart and let love

Our little boy is four years old and quite a little man
So we spell out the words we don't want him to understand
Like T-O-Y or S-U-R-P-R-I-S-E
But the words we're holding from him now
Tear the heart right out of me
Our D-I-V-O-R-C-E
Becomes final today
Me and little S-O-B
Will be going away
But I love you both, and this will be pure H-E-double-L on me
How I wish we could stop this D-I-V-O-R-C-E

(Golden shower of hits)
(Golden shower of hits)
(Golden shower of hits)
(Golden shower of hits)"
101	Circle Jerks	Golden Shower of Hits (Jerks on 45): Along Comes Mary/Close to You/Af	"Every time I think that I'm the only one who's lonely someone calls on me
And every now and then I spend the time to find a person who's so
Close to me

And then along comes Mary (ooh, ooh, ooh)
And then she want to give me kicks and
Now what to get from me will be memories
I really got the tales, all the trials and tribulations
No one's ever seen

Why do birds suddenly appear every time you are near?
Just like me, they long to be
Close to you
Why do stars fall down from the skies
Every time you walk by?
Just like me, they long to be
Close to you

From the day that you were born the fairies got together and decided to create a dream come true
So they sprinkled angel dust in your hair
Golden starlight in your eyes, ooh

I find my baby, gotta hold her tight
Gotta grab some afternoon delight
My motto's always been ""when it's right, it's right""
Why wait until the middle of a cold, dark night?

When everything's a little clearer in the light of day
And we know the night is always gonna be here anyway

(Thinking of you's working up my appetite)
(Looking forward to a little afternoon delight)
(Rubbing sticks and stones together makes the sparks ignite)
(And the thought of loving you is getting so exciting)
(Sky rockets in flight)
(Afternoon delight!)
(Afternoon delight!)

Have my baby
What a wonderful way of saying how much you love me
Having my baby
What a lovely way of saying what you're thinkin' of me
I can see it
Faces glowing
I can see it in your eyes, a happy knowing
'Cause you're having my baby
You're the woman I love and I love what it's doing to ya
Having my baby!
You're a woman in love and I love what's going through ya

Love, love will keep us together
Think of me babe, whenever
Some sweet-talking guy comes along
Singin' a song
Don't mess around, you just gotta be strong
Stop (stop!) I really love you
Stop (stop!) I been thinking of you
Look in my heart and let love

Our little boy is four years old and quite a little man
So we spell out the words we don't want him to understand
Like T-O-Y or S-U-R-P-R-I-S-E
But the words we're holding from him now
Tear the heart right out of me
Our D-I-V-O-R-C-E
Becomes final today
Me and little S-O-B
Will be going away
But I love you both, and this will be pure H-E-double-L on me
How I wish we could stop this D-I-V-O-R-C-E

(Golden shower of hits)
(Golden shower of hits)
(Golden shower of hits)
(Golden shower of hits)"
102	Circle Jerks	Golden Shower of Hits [Jerks on 45]	"Every time I think that I'm the only one who's lonely someone calls on me
And every now and then I spend the time to find a person who's so
Close to me

And then along comes Mary (ooh, ooh, ooh)
And then she want to give me kicks and
Now what to get from me will be memories
I really got the tales, all the trials and tribulations
No one's ever seen

Why do birds suddenly appear every time you are near?
Just like me, they long to be
Close to you
Why do stars fall down from the skies
Every time you walk by?
Just like me, they long to be
Close to you

From the day that you were born the fairies got together and decided to create a dream come true
So they sprinkled angel dust in your hair
Golden starlight in your eyes, ooh

I find my baby, gotta hold her tight
Gotta grab some afternoon delight
My motto's always been ""when it's right, it's right""
Why wait until the middle of a cold, dark night?

When everything's a little clearer in the light of day
And we know the night is always gonna be here anyway

(Thinking of you's working up my appetite)
(Looking forward to a little afternoon delight)
(Rubbing sticks and stones together makes the sparks ignite)
(And the thought of loving you is getting so exciting)
(Sky rockets in flight)
(Afternoon delight!)
(Afternoon delight!)

Have my baby
What a wonderful way of saying how much you love me
Having my baby
What a lovely way of saying what you're thinkin' of me
I can see it
Faces glowing
I can see it in your eyes, a happy knowing
'Cause you're having my baby
You're the woman I love and I love what it's doing to ya
Having my baby!
You're a woman in love and I love what's going through ya

Love, love will keep us together
Think of me babe, whenever
Some sweet-talking guy comes along
Singin' a song
Don't mess around, you just gotta be strong
Stop (stop!) I really love you
Stop (stop!) I been thinking of you
Look in my heart and let love

Our little boy is four years old and quite a little man
So we spell out the words we don't want him to understand
Like T-O-Y or S-U-R-P-R-I-S-E
But the words we're holding from him now
Tear the heart right out of me
Our D-I-V-O-R-C-E
Becomes final today
Me and little S-O-B
Will be going away
But I love you both, and this will be pure H-E-double-L on me
How I wish we could stop this D-I-V-O-R-C-E

(Golden shower of hits)
(Golden shower of hits)
(Golden shower of hits)
(Golden shower of hits)"
116	Circle Jerks	Put a Little Love in Your Heart	"Think of your fellow man, lend him a helping hand
Put a little love in your heart
Put a smile on your face, think of the human race
Put a little love in your heart

And the world will be a better place
And the world will be a better place for you and me
Just wait and see

Think of your fellow man, lend him a helping hand
Put a little love in your heart
Put a smile on your face, think of the human race
Put a little love in your heart

And the world will be a better place
And the world will be a better place for you and me
Just wait and see

Put a little love in your heart
Put a little love in your heart
Put a little love in your heart
Put a little love in your heart"
136	Circle Jerks	Golden Shower of Hits (Jerks On 45)	"Every time I think that I'm the only one who's lonely someone calls on me
And every now and then I spend the time to find a person who's so
Close to me

And then along comes Mary (ooh, ooh, ooh)
And then she want to give me kicks and
Now what to get from me will be memories
I really got the tales, all the trials and tribulations
No one's ever seen

Why do birds suddenly appear every time you are near?
Just like me, they long to be
Close to you
Why do stars fall down from the skies
Every time you walk by?
Just like me, they long to be
Close to you

From the day that you were born the fairies got together and decided to create a dream come true
So they sprinkled angel dust in your hair
Golden starlight in your eyes, ooh

I find my baby, gotta hold her tight
Gotta grab some afternoon delight
My motto's always been ""when it's right, it's right""
Why wait until the middle of a cold, dark night?

When everything's a little clearer in the light of day
And we know the night is always gonna be here anyway

(Thinking of you's working up my appetite)
(Looking forward to a little afternoon delight)
(Rubbing sticks and stones together makes the sparks ignite)
(And the thought of loving you is getting so exciting)
(Sky rockets in flight)
(Afternoon delight!)
(Afternoon delight!)

Have my baby
What a wonderful way of saying how much you love me
Having my baby
What a lovely way of saying what you're thinkin' of me
I can see it
Faces glowing
I can see it in your eyes, a happy knowing
'Cause you're having my baby
You're the woman I love and I love what it's doing to ya
Having my baby!
You're a woman in love and I love what's going through ya

Love, love will keep us together
Think of me babe, whenever
Some sweet-talking guy comes along
Singin' a song
Don't mess around, you just gotta be strong
Stop (stop!) I really love you
Stop (stop!) I been thinking of you
Look in my heart and let love

Our little boy is four years old and quite a little man
So we spell out the words we don't want him to understand
Like T-O-Y or S-U-R-P-R-I-S-E
But the words we're holding from him now
Tear the heart right out of me
Our D-I-V-O-R-C-E
Becomes final today
Me and little S-O-B
Will be going away
But I love you both, and this will be pure H-E-double-L on me
How I wish we could stop this D-I-V-O-R-C-E

(Golden shower of hits)
(Golden shower of hits)
(Golden shower of hits)
(Golden shower of hits)"
137	Circle Jerks	Deny Everything [*]	"I'm innocent
Until I'm proven guilty
Deny everything,
Deny everything
I'm being framed
It's all a set-up
Deny everything,
Deny everything

I'm just a spook in the wheel
Just a part of the puzzle
A part of the game
I'm being framed

Innocent
Until I'm proven guilty
Deny everything
Deny everything
Deny everything
Deny everything"
138	Circle Jerks	I Just Want Some Skank [*]	"Empty frame on the wall
Cat and mouse when you don't call
All I do is think of her
TV
Screens picture's blurred

So take it away!
Take it away!

Every night the scene is set
I've got to drink to forget
I cannot incur this debt
Where's the gun?
Here's my head!

Let's go to the Hong Kong
Breaking glass at madame Wong's.
Let's go buy a pint of booze
Getting drunk getting loose

[Chorus]
I just want some skank! [Repeat: x4]

Passing flyers at the troub
Seven nights seven 'ludes
What's the deal with this band?
Let's go roll some fields,
Man

[Chorus]

Every night would be so great
I'd take you home to meet mom & dad
And they'll be so glad
They won't think their boy's a fag
Then they'll go upstairs and go to bed"
139	Circle Jerks	Beverly Hills [*]	"Beverly Hills,
Century city
Everything's so nice and pretty
All the people look the same
Don't they know they're so damn lame

There she goes
Three piece suit
Spandex pants
Cowboy boots

I don't know what I'm gonna do
I don't know what I'm gonna do
Maybe I'll have to move from

Beverly Hills,
Century city
Everything's so nice and pretty
All the people look the same
Don't they know they're so damn lame

There she goes
Three piece suit
Spandex pants
Fiorucci too
Beverly hills,
Century city!"
140	Circle Jerks	Operation [*]	"I went to see a rabbi
But despite his advise
I want an operation
I will not father life

Operation,
Operation
Snip & tie,
Snip & tie

They send me to a preacher
A really toughtful guy
He said my idea's crazy
I shouldn't even try

This operation,
Operation
Snip & tie,
Snip & tie

But I've just seen a surgeon
And with a knife he cut
I cannot bring you children
This world is such a rut

Operation,
Operation
Snip & tie,
Snip & tie

I had an operation
A statement of our times
They tied my balls together
What's insides not alive"
141	Circle Jerks	Back Against the Wall [*]	"You yell out in defiance
You're backed up against the wall
They're up there clutching their guns and
It makes you feel real small

So you can cuss,
Spit,
Throw bottles
Broken glass
But it all ends up with handcuffs on you hands

You run around and spray paint
Graffiti on everybody's wall
You think that's bitchin' man
That ain't nothing at all!

So you can cuss,spit,throw bottles
Broken glass
But it ends up with a swift kick to your ass"
142	Circle Jerks	Wasted [*]	"I was so wasted
I was so wasted
I was wasted
I was a hippie
I was a burnout
I was a dropout
You know I was out of my head
I was a surfer
I had a skateboard
I was so heavy man
I lived on the strand

I was so wasted,
I was wasted

I was so fucked up
I was so screwed up
I was so jacked up
I couldn't get any higher than that
I was so pilled up
I was so nebbed out
I was so jacked up
I was out of my head

I was so wasted
I was so wasted"
143	Circle Jerks	Behind the Door [*]	"Mister,give me the key
Point me to the stairs
I don't know what waits for me in

Room 13
Room 13

Dim lit stairway
Stains on the floor
Looking for 13
What's behind the door?

Room 13
Room 13

Prostitutes, hypes and thungs
Meet me on the way
Bare ceilings;just blank
Walls blank walls,

That's okay
Prostitutes,hypes & thugs
Meet me on the way
Empty bottles,spots of blood

That's cool bro,
That's cool,'cause
What waits for me?
A whore,a bullet a thug?

That's okay,
Room 13
That's okay,
Room 13

Turn around
I'll walk away
Turn around
I didn't want to stay there anyway"
144	Circle Jerks	World Up My Ass [*]	"I've got the world up my ass
And I'm gonna move fast
Be the first
Won't be the last
I've got the world up my ass

Society is burning me up
Take a bite,
Spit it out
Take their rules
Rip 'em up,
Tear them down

Twisted mind,
Withered brain
You know I'm going insane
I just tell them to get back
When they tell me how to act
I've got the world up my ass

You know I've got the world up my ass"
145	Circle Jerks	Paid Vacation [*]	"I hope you're having fun
Where's your uniform?
Where's your gun?
Better rub up that suntan oil
Cause you'll be fighting in the desert

It's not, Vietnam
Just another oil company scam

Salute that flag of uncle Sam
Get your money out place your bets
It's Afghanistan!
Fix baionets, check grenades
Got enough bullets
Got enough rounds to wipe out this place?
Were the infantry and cavalry
Parachutes fill the sky, bodies burn and people die"
146	Circle Jerks	Don't Care [*]	"Don't care
Where you from anyway
I don't care
Lots of money anyway
I don't care
What you say anyway
I don't care
Lots of clothes anyway

I don't care
I don't care

Don't care
Nice car anyway
Don't care
Nice parent anyway
Don't care
Nice home anyway
Don't care
Lots of money anyway

Don't care,don't care"
147	Circle Jerks	Live Fast Die Young [*]	"I don't want to live
To be thirty-four
I don't want to die
In a nuclear war
Go on out
Get some more
Go on out
To the bar, the market or the liquor store

I don't want to live
To be forty-three
I don't like
What I see going on around me

Go on out
Get some more
Go on out
Get fucked up and pass out on the floor
Go on out
Get some more
Go on out
To your favorite liquor store
Go on out
Don't worry about it any more
Go on out
Get fucked up
I don't know what for

I don't want to live
To be fifty-seven
I'm living in hell
Is there a heaven?

Live fast, die young
Live fast, die young
Live fast, die young
Live fast, die young"
148	Circle Jerks	What's Your Problem [*]	"Girls hate guys
because of the things we try
guys hate girls
because of the things they say
behind our backs while we're away

tell me what's your problem?
what's inside of you?
tell me what's your problem?
what you're gonna do?

I got a date
I can't be late
If she don't show up
I'll masturbate"
149	Circle Jerks	Group Sex [*]	"Group sex!
Group sex!
Group sex!
Group sex!

Private swing party
Friday and Saturday night
Wouldn't it be nice
To have a party with couples
That are friendly and mellow?
A ion-key atmosphere
Where you can explore
Your most sensual fantasies
With other aware sensitive couples?

Group sex!
Group sex!
Group sex!
Group sex!

Where you can bring someone
You care about without embarrassment?
Privacy good food and music
Refreshments
Cleanliness
And a super-jacuzzi too
That's what parties at the
A-frame are all about
Call 213-659-3756
Best time to call is
Friday and Saturday afternoons
See you there!

Group sex!"
150	Circle Jerks	Red Tape [*]	"Red tape
I can see can't you see?
Red tape
Do in to you do in to me

Red tape
Bureaucracy and bourgeoisie
Red tape
Killing you killing me

Tax this
Tax that
Tax this
Tax that

No more red tape
I can see can't you see
Red tape
Do in to you do into me

Red tape
Washington DC
Red tape
Killing you killing me

Tax this
Tax that
Tax this
Tax that

No more red tape
Red tape
I can see can't you see
Red tape
Do in to you do in to me
Red tape
Washinton DC
Red tape
Killing you killing me

Tax this
Tax that
Tax this
Tax that

No more red tape!"
